name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dakshina Kannada,2021-06-15,28.2,23,25.7,32.8,23,26.8,23.7,89.4,33,100,20.83,rain,0,0,49,20.5,235.4,1005.8,99.8,3.7,115.9,10.1,5,,2021-06-15T06:03:11,2021-06-15T18:55:53,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-16,28.2,25,26.7,33.8,25,29.2,24.2,86.2,16,100,16.67,rain,0,0,52.2,37.1,224.3,1006.7,94.8,4.3,95,8.4,4,,2021-06-16T06:03:22,2021-06-16T18:56:09,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-17,29.1,25,27.1,35.6,25,30,24.2,84.3,15,100,8.33,rain,0,0,49,37.1,225.3,1007.7,91,4.6,133.7,11.5,5,,2021-06-17T06:03:32,2021-06-17T18:56:23,0.24,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-18,30,25,27.4,36.2,25,30.2,24.1,82.5,14,100,16.67,rain,0,0,48.2,29.5,219.1,1008.9,85.5,5.1,148.2,12.7,5,,2021-06-18T06:03:44,2021-06-18T18:56:38,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-19,28,23,24.7,32.7,23,25.1,22.6,88.3,74,100,20.83,rain,0,0,46.4,31.8,220.9,1010.6,94.9,4.2,93.3,8.1,5,,2021-06-19T06:03:56,2021-06-19T18:56:52,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-20,28,22.2,24.7,32.7,22.2,25.2,23.1,90.6,35,100,25,rain,0,0,39.6,11.2,353.3,1011,94.4,4.3,146.8,12.6,6,,2021-06-20T06:04:08,2021-06-20T18:57:05,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-21,29.1,24,25,33.7,24,25.5,23.5,91.6,35,100,12.5,rain,0,0,31,18.4,236.7,1010.3,90.2,4,140.8,12.1,5,,2021-06-21T06:04:21,2021-06-21T18:57:19,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-22,30,23.8,26.5,36.2,23.8,28.9,23.7,85,0.1,100,4.17,rain,0,0,35.3,16.6,278.1,1009.1,77.1,5.3,223.4,19.1,9,,2021-06-22T06:04:34,2021-06-22T18:57:31,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-23,31,24,27.3,37.7,24,30.3,24.3,84.2,44,100,4.17,rain,0,0,30.6,16.6,288.6,1008.6,71,5.5,190.5,16.3,7,,2021-06-23T06:04:48,2021-06-23T18:57:43,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-24,30,24,27.1,35.1,24,29.4,23.7,82.3,0.2,100,4.17,rain,0,0,33.1,13,269.3,1009.6,58.5,5.1,231.1,19.9,8,,2021-06-24T06:05:02,2021-06-24T18:57:55,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-25,31,24.9,27.3,36.5,24.9,29.9,23.7,81.6,3.5,100,8.33,rain,0,0,36,14.8,273.5,1008.7,59.4,5.7,252.9,21.9,8,,2021-06-25T06:05:16,2021-06-25T18:58:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-26,28.2,23,24.9,31.5,23,25.2,22.6,87.6,23.3,100,20.83,rain,0,0,36,20.5,331,1008.5,88.4,4.7,183.3,15.7,6,,2021-06-26T06:05:31,2021-06-26T18:58:16,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-27,28.9,23,25.6,31.9,23,26.8,22.8,85.3,7,100,12.5,rain,0,0,23,13,286.4,1009.1,82.5,5.3,92,7.9,3,,2021-06-27T06:05:46,2021-06-27T18:58:26,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-28,30,24,26.5,34.1,24,28.2,23.1,82.6,0.1,100,4.17,rain,0,0,29.9,14.8,275.4,1008.4,75.3,5.6,208.2,17.9,8,,2021-06-28T06:06:01,2021-06-28T18:58:35,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-29,30.6,22.1,26.8,36.3,22.1,29.1,23,80.3,0.2,100,8.33,rain,0,0,29.9,14.8,266.1,1007.9,51.1,5.7,273.9,23.7,9,,2021-06-29T06:06:16,2021-06-29T18:58:43,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOML,43260099999,43284099999,43287099999,remote,43285099999"
Dakshina Kannada,2021-06-30,32,24.9,28.1,36.8,24.9,31.2,23.9,78.9,0.2,100,4.17,rain,0,0,29.5,14.8,287.6,1007.8,40.4,6.5,247.8,21.4,8,,2021-06-30T06:06:32,2021-06-30T18:58:51,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-07-01,31,25,27.3,36.5,25,29.6,24.1,83.1,1,100,4.17,rain,0,0,30.2,14.8,304.7,1006.8,71.7,5.6,201.2,17.2,7,,2021-07-01T06:06:48,2021-07-01T18:58:58,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-02,30.8,24,26.4,36,24,28.1,23.3,83.9,28.8,100,8.33,rain,0,0,25.2,11.2,250.2,1007.9,92.1,5.8,173.2,14.9,6,,2021-07-02T06:07:04,2021-07-02T18:59:05,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-07-03,28.2,24,25.5,32,24,26.3,23.2,87.3,0,0,0,,0,0,27.7,14.8,327.4,1008.4,87.1,5.8,139.5,12,6,,2021-07-03T06:07:20,2021-07-03T18:59:11,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-07-04,31,23,27.1,36.5,23,29.3,23.2,80.4,0.7,100,4.17,rain,0,0,32.4,13,313.2,1008.3,72.4,6.6,192.5,16.5,7,,2021-07-04T06:07:37,2021-07-04T18:59:15,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-07-05,28.4,25,26.4,31.9,25,27.6,23.4,83.6,0,0,0,,0,0,27.7,18.4,323,1007.9,69.6,6.7,152.6,13.2,5,,2021-07-05T06:07:53,2021-07-05T18:59:20,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-06,30,24,26.9,35.1,24,29.1,23.7,83,4,100,4.17,rain,0,0,27,14.8,286,1006.3,62.2,6.5,210.8,18.2,8,,2021-07-06T06:08:10,2021-07-06T18:59:23,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-07-07,29.4,25,26.6,34,25,28.3,24.1,86.3,22,100,8.33,rain,0,0,20.9,9.4,292.6,1006.8,82.5,5.2,146.9,12.7,6,,2021-07-07T06:08:27,2021-07-07T18:59:26,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-07-08,28.9,23,26,33.2,23,27.8,23.8,87.9,32.8,100,12.5,rain,0,0,28.1,11.2,264.9,1007.2,92.7,5.1,150.8,13,6,,2021-07-08T06:08:43,2021-07-08T18:59:28,0.94,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43257099999,43260099999,43284099999,43287099999,remote,43285099999"
Dakshina Kannada,2021-07-09,26,23.1,24.8,26,23.1,24.8,23.5,92.2,80.2,100,20.83,rain,0,0,27,9.4,262.4,1005.7,97.7,3.4,66.4,5.5,3,,2021-07-09T06:09:00,2021-07-09T18:59:29,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,43287099999,remote,43285099999"
Dakshina Kannada,2021-07-10,28,23,24.5,31.3,23,24.8,22.8,90.2,53,100,16.67,rain,0,0,46.4,25.9,257.6,1005.6,92.9,4.8,29.6,2.6,1,,2021-07-10T06:09:17,2021-07-10T18:59:29,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-07-11,27,22.5,23.8,29.6,22.5,23.9,22.2,91.2,72,100,20.83,rain,0,0,45.7,24.1,279.2,1006.4,97.9,3.5,78.9,6.8,4,,2021-07-11T06:09:34,2021-07-11T18:59:28,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-07-12,27,23,24.4,30.1,23,24.7,22.8,90.6,58,100,25,rain,0,0,42.1,14.8,327.8,1005.8,96.9,3.7,58,5.1,2,,2021-07-12T06:09:50,2021-07-12T18:59:27,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,remote,43285099999"
Dakshina Kannada,2021-07-13,27.8,23,24.4,32.9,23,24.6,23.1,92.5,52,100,20.83,rain,0,0,50.8,14.8,287.8,1006,100,3.6,105.2,9.1,4,,2021-07-13T06:10:07,2021-07-13T18:59:24,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43284099999,remote,43285099999"
Dakshina Kannada,2021-07-14,28,24,25.4,32.7,24,26,23.6,90,56,100,16.67,rain,0,0,53.6,35.3,286.3,1006,95.9,4.1,63.7,5.6,3,,2021-07-14T06:10:23,2021-07-14T18:59:21,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-15,26.1,23,24.2,26.1,23,24.2,23.2,94.2,114,100,29.17,rain,0,0,42.5,13,293.8,1005.7,97.5,3,46.3,4,2,,2021-07-15T06:10:40,2021-07-15T18:59:17,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-16,26,23,24.7,26,23,24.7,23.5,93,40,100,20.83,rain,0,0,42.8,11.2,307.4,1007.8,96.5,3.5,54.2,4.6,2,,2021-07-16T06:10:56,2021-07-16T18:59:12,0.22,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-17,28,23,24.4,31.3,23,24.7,22.8,90.9,27,100,12.5,rain,0,0,44.6,25.9,303.8,1008.4,96,3.5,53.1,4.8,2,,2021-07-17T06:11:12,2021-07-17T18:59:06,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-07-18,25,22.2,23.7,25,22.2,23.7,22.6,93.7,69,100,20.83,rain,0,0,36.4,16.6,305.2,1008.2,99.1,2.9,41.1,3.6,2,,2021-07-18T06:11:28,2021-07-18T18:59:00,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-07-19,27.1,23.2,24.9,30.2,23.2,25.2,23.2,90.2,20,100,20.83,rain,0,0,34.9,16.6,281.1,1008.3,92.2,4.3,67.8,5.7,3,,2021-07-19T06:11:43,2021-07-19T18:58:52,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,remote,43285099999"
Dakshina Kannada,2021-07-20,29,24,25.8,34.5,24,27.1,23.6,88,9,100,8.33,rain,0,0,47.9,16.6,268.4,1010.1,87.6,4.7,141.5,12.3,6,,2021-07-20T06:11:59,2021-07-20T18:58:44,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-21,28,24,25.8,32.7,24,26.6,24.1,90.5,23,100,16.67,rain,0,0,52.2,18.4,271.9,1009.3,93.8,4.4,113.6,9.7,4,,2021-07-21T06:12:14,2021-07-21T18:58:34,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-07-22,27,24.9,26.1,30.6,24.9,26.9,24.4,90.2,4,100,8.33,rain,0,0,55.1,14.8,264.7,1006.8,93.1,4.3,47.7,4.1,2,,2021-07-22T06:12:29,2021-07-22T18:58:24,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-07-23,28.1,25,26.6,32.8,25,28.4,24.7,89.7,5,100,8.33,rain,0,0,49.7,25.9,262,1005.6,83.1,4.9,62.4,5.3,4,,2021-07-23T06:12:44,2021-07-23T18:58:13,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-24,28,25,26,32,25,26.7,24.4,90.8,27,100,8.33,rain,0,0,42.5,16.6,274.8,1006.9,83.9,4.9,109.8,9.6,5,,2021-07-24T06:12:59,2021-07-24T18:58:01,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-25,29.1,25,26.3,34.5,25,27.8,24.3,89.3,15,100,12.5,rain,0,0,43.2,18.4,274.9,1008.1,79.4,4.8,195.7,16.9,8,,2021-07-25T06:13:13,2021-07-25T18:57:48,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-07-26,27,23.9,25.2,30.6,23.9,25.9,23.8,91.6,70,100,16.67,rain,0,0,31,11.2,269.6,1008.9,90.4,3.7,68,5.8,3,,2021-07-26T06:13:27,2021-07-26T18:57:34,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-27,29,24,26.1,33.6,24,27.5,23.8,87.6,11,100,12.5,rain,0,0,41.8,18.4,252.4,1008.5,75.5,5.1,177.5,15.4,7,,2021-07-27T06:13:40,2021-07-27T18:57:19,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-07-28,29,24.9,26.8,34.5,24.9,29.2,24,84.9,0,0,0,,0,0,38.5,16.6,251.6,1009.1,66.6,5,154.2,13.3,6,,2021-07-28T06:13:54,2021-07-28T18:57:03,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-07-29,29,24.7,26.7,34.5,24.7,28.6,24.3,86.6,13.2,100,12.5,rain,0,0,42.8,22.3,253.4,1010,80.3,5.5,151.3,13.1,7,,2021-07-29T06:14:07,2021-07-29T18:56:47,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-07-30,29.1,25,27,33.6,25,29.3,23.8,82.8,0,0,0,,0,0,46.1,22.3,269.7,1010.5,59.9,5.7,168.6,14.6,7,,2021-07-30T06:14:19,2021-07-30T18:56:29,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-07-31,30,25,27,35.1,25,29.2,23.9,83.5,8.2,100,12.5,rain,0,0,56.2,22.3,281.7,1010.8,58.5,5.6,186.6,16.1,7,,2021-07-31T06:14:32,2021-07-31T18:56:11,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-08-01,29,25,27.1,33.6,25,29.3,23.8,82.3,0.2,100,4.17,rain,0,0,46.4,18.4,274.6,1010,68.5,5.9,193.4,16.7,8,,2021-08-01T06:14:44,2021-08-01T18:55:52,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-08-02,29,24.2,26.8,33.6,24.2,28.9,23.7,83.7,20.8,100,12.5,rain,0,0,41.8,18.4,273.9,1009.9,85.1,6,175.3,15.2,7,,2021-08-02T06:14:55,2021-08-02T18:55:32,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-08-03,28,23.9,25.3,31.9,23.9,26.2,23.3,88.8,18,100,16.67,rain,0,0,44.6,16.6,275.3,1011.3,92.4,5.6,165.7,14.3,7,,2021-08-03T06:15:07,2021-08-03T18:55:11,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-08-04,27.2,23,25.1,30.8,23,25.6,23.4,90.4,30,100,16.67,rain,0,0,51.5,18.4,258.3,1011.7,91.3,4.5,170.1,14.8,7,,2021-08-04T06:15:18,2021-08-04T18:54:49,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-08-05,28.1,24,26.1,33.6,24,27.3,24.4,90.1,4,100,4.17,rain,0,0,52.9,18.4,270.5,1009.5,91.8,5.4,169.8,14.6,6,,2021-08-05T06:15:28,2021-08-05T18:54:27,0.89,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"VOML,43284099999,43285099999"
Dakshina Kannada,2021-08-06,28,24,26.2,32.7,24,27.8,23.9,87.8,29,100,16.67,rain,0,0,48.6,18.4,279.3,1008,92.1,5.3,150,13.1,7,,2021-08-06T06:15:38,2021-08-06T18:54:03,0.93,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-08-07,27,24,25.1,30.5,24,25.4,23.6,91.4,38,100,12.5,rain,0,0,38.2,14.8,305,1008.4,90.6,4.5,139,12,5,,2021-08-07T06:15:48,2021-08-07T18:53:39,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-08-08,29.1,24,25.9,33.6,24,27.2,23.6,87.4,3.4,100,8.33,rain,0,0,28.4,16.6,244.8,1008.9,77.5,5,150.8,13,6,,2021-08-08T06:15:58,2021-08-08T18:53:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-08-09,28,24,26.1,31.9,24,27.4,23.6,86.4,0,0,0,,0,0,27,13,238.2,1010,82.2,5.8,175,15.2,6,,2021-08-09T06:16:07,2021-08-09T18:52:48,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-08-10,29,24.9,26.3,33.6,24.9,27.5,23.8,86.5,15,100,12.5,rain,0,0,27.7,9.4,293,1010.1,87.2,5,98.5,8.4,4,,2021-08-10T06:16:15,2021-08-10T18:52:22,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-08-11,28,23.2,25.5,31.9,23.2,26.6,23.6,89.4,15,100,8.33,rain,0,0,37.4,11.2,296.8,1010.2,93.1,4.1,170.3,14.6,6,,2021-08-11T06:16:23,2021-08-11T18:51:55,0.1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-08-12,28,23,25.5,31.9,23,26.6,22.9,86,9,100,8.33,rain,0,0,36.4,9.4,338.2,1011.1,90.3,5.2,117,10.2,5,,2021-08-12T06:16:31,2021-08-12T18:51:27,0.13,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"VOML,43284099999,43285099999"
Dakshina Kannada,2021-08-13,28.1,24,25.3,32.7,24,26.1,23.5,90.3,13,100,16.67,rain,0,0,32.4,14.8,303.5,1009.5,93.8,4,126.6,10.9,5,,2021-08-13T06:16:39,2021-08-13T18:50:58,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-08-14,29.1,23,25.1,33.7,23,25.8,23.3,90.1,15,100,8.33,rain,0,0,36.7,22.3,285,1008.4,86.3,3.9,168.1,14.4,7,,2021-08-14T06:16:46,2021-08-14T18:50:28,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOML,43260099999,43284099999,43285099999"
